# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,2.309001930860054870e+02,6.725998326899731410e+02,2.309001930860054870e+02,6.725998326899731410e+02,2.309001930860054870e+02,6.725998326899731410e+02
3.336746302616609705e-02,2.419973236262193836e+02,6.704204364655450945e+02,2.309001930860054870e+02,6.725998326899731410e+02,2.310823136468657992e+02,6.725640655282468288e+02
6.673492605233219410e-02,2.496712002143879658e+02,6.697471162689514586e+02,2.310825197425909892e+02,6.725640250525361807e+02,2.313836836827639445e+02,6.725183869907243661e+02
1.001023890784982912e-01,2.613701405309203665e+02,6.710757418993711099e+02,2.313846104505282426e+02,6.725182371989352532e+02,2.318655660786420754e+02,6.724951001648059901e+02
1.334698521046643882e-01,2.695485991070255523e+02,6.725807879334766994e+02,2.318684003100996449e+02,6.724948562353104080e+02,2.324688268779277678e+02,6.724962255400446338e+02
1.668373151308304991e-01,2.787094099736081034e+02,6.750592468943090125e+02,2.324753545255667859e+02,6.724959821439206280e+02,2.332106616306891453e+02,6.725367483446141250e+02
2.002047781569965823e-01,2.868913938907523402e+02,6.773780382504864974e+02,2.332240189506591435e+02,6.725368574784716884e+02,2.340813016890468816e+02,6.726141905083412666e+02
2.335722411831626655e-01,2.997566393205755162e+02,6.796660717412314625e+02,2.341064974205316389e+02,6.726153114042979269e+02,2.351689222780088642e+02,6.727294147836551019e+02
2.669397042093287764e-01,3.133878462787849912e+02,6.814115962816690626e+02,2.352153266942315213e+02,6.727327253874669850e+02,2.365116461011330671e+02,6.728766453842886222e+02
3.003071672354948873e-01,3.307504904873806026e+02,6.824670391073420888e+02,2.365945312007588655e+02,6.728839046008906735e+02,2.382176337893694154e+02,6.730491029647783989e+02
3.336746302616609983e-01,3.500079111809848200e+02,6.833310691760308373e+02,2.383626557014246714e+02,6.730626488300066512e+02,2.403979315654331117e+02,6.732498405561752861e+02
3.670420932878270537e-01,3.709315672325049036e+02,6.842441738496412427e+02,2.406452246292707002e+02,6.732728754107166651e+02,2.432053976540558438e+02,6.734884653317242282e+02
4.004095563139931646e-01,3.955731590749729776e+02,6.864959641571269913e+02,2.436151938956629692e+02,6.735254285386255333e+02,2.468981816488318941e+02,6.738056514906592156e+02
4.337770193401592755e-01,1.026760406141318526e+03,2.196483886542280288e+02,2.475606309653449557e+02,6.738643855989328131e+02,2.664202663823451189e+02,6.628706091941439809e+02
4.671444823663253310e-01,4.335823470077409638e+02,6.875213269631791491e+02,2.685953518045724877e+02,6.620831490272948940e+02,2.731422261672737477e+02,6.627841994279526716e+02
5.005119453924914419e-01,4.562887811340820576e+02,6.874402752718608554e+02,2.758872457982131436e+02,6.619909716704682978e+02,2.816185792808878432e+02,6.627994927596589605e+02
