# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,2.319902972869854523e+02,6.731348264994034025e+02,2.319902972869854523e+02,6.731348264994034025e+02,2.319902972869854523e+02,6.731348264994034025e+02
3.336746302616609705e-02,2.386402839897834838e+02,6.705234306720075210e+02,2.319902972869854523e+02,6.731348264994034025e+02,2.320234184707664724e+02,6.731218200792420703e+02
6.673492605233219410e-02,2.498726755028319531e+02,6.708327400734370940e+02,2.320234553679648002e+02,6.731218055900116042e+02,2.321122103155759078e+02,6.731104232501409115e+02
1.001023890784982912e-01,2.631501739620711078e+02,6.712318458215879673e+02,2.321124456856217364e+02,6.731103832970003396e+02,2.322668738356014728e+02,6.731010366378501431e+02
1.334698521046643882e-01,2.694385441322617112e+02,6.725831175096236620e+02,2.322676300626818033e+02,6.731009651130581233e+02,2.324531045979696273e+02,6.730983811695097074e+02
1.668373151308304991e-01,2.790366242687861131e+02,6.750875979192214800e+02,2.324547023413588533e+02,6.730982977466902639e+02,2.326883373077912438e+02,6.731082752242137985e+02
2.002047781569965823e-01,2.874880507340911890e+02,6.779313434306259296e+02,2.326912759884251329e+02,6.731082484400031944e+02,2.329681822859484441e+02,6.731326211404523292e+02
2.335722411831626655e-01,2.990241002992728454e+02,6.795311494767070144e+02,2.329730596010038255e+02,6.731327634841262579e+02,2.333101662567182757e+02,6.731654191165148404e+02
2.669397042093287764e-01,3.127770131890646894e+02,6.810798856486360364e+02,2.333178532544098118e+02,6.731658317678353569e+02,2.337284737820262990e+02,6.732067291669872020e+02
3.003071672354948873e-01,3.307504904873804321e+02,6.824670391072332905e+02,2.337401691161645658e+02,6.732075389620353008e+02,2.342491274629904581e+02,6.732561183278153294e+02
3.336746302616609983e-01,3.500079111809845926e+02,6.833310691762071656e+02,2.342665718897582678e+02,6.732574753807737125e+02,2.348848023192111611e+02,6.733112833136732434e+02
3.670420932878270537e-01,3.711949045498200235e+02,6.843306907911539838e+02,2.349102629309113297e+02,6.733133386962650775e+02,2.356536553192331382e+02,6.733734350914971856e+02
4.004095563139931646e-01,3.921799599890580339e+02,6.859152138317949721e+02,2.356901080839976714e+02,6.733763823478295762e+02,2.365646245886386794e+02,6.734464534415660637e+02
4.337770193401592755e-01,2.678033409444045674e+02,7.615507009404982455e+02,2.366157505863892823e+02,6.734505801468615118e+02,2.367949222758453232e+02,6.739567124675273817e+02
4.671444823663253310e-01,4.335823470077409638e+02,6.875213269630028208e+02,2.368503162850113313e+02,6.739699891929935802e+02,2.380164731911198430e+02,6.740503166621375613e+02
5.005119453924914419e-01,4.562887811340820008e+02,6.874402752718415286e+02,2.380962641381574372e+02,6.740655468650481907e+02,2.394359185161109167e+02,6.741476647750058646e+02
5.338794084186575528e-01,4.743582437257295510e+02,6.868060449161575889e+02,2.395471558423819829e+02,6.741651097485448645e+02,2.410464820505387706e+02,6.742458252103369887e+02
5.672468714448236637e-01,4.969546745256863005e+02,6.858614211763633648e+02,2.411970176428548598e+02,6.742656941463056910e+02,2.429024896030720697e+02,6.743430180768934861e+02
6.006143344709897747e-01,5.175008817950410958e+02,6.844984585796769352e+02,2.431025338006073184e+02,6.743654746659394732e+02,2.450215899375222364e+02,6.744363415829856194e+02
6.339817974971558856e-01,5.379201055614594225e+02,6.830679153594650188e+02,2.452829791274555475e+02,6.744614541995900936e+02,2.474386828274747359e+02,6.745248534695067519e+02
6.673492605233219965e-01,5.578255456211502405e+02,6.826318159902177740e+02,2.477754412425396140e+02,6.745526310236864447e+02,2.501913999836243931e+02,6.746155852922548775e+02
