# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,2.322515251512442376e+02,6.722294207334052771e+02,2.322515251512442376e+02,6.722294207334052771e+02,2.322515251512442376e+02,6.722294207334052771e+02
3.336746302616609705e-02,2.425048978639302675e+02,6.713729624119961272e+02,2.322515251512442376e+02,6.722294207334052771e+02,2.322661682882220759e+02,6.722281976006013338e+02
6.673492605233219410e-02,2.507483106637721733e+02,6.704365774724915354e+02,2.322661848590470299e+02,6.722281962164498736e+02,2.322926326606206828e+02,6.722256324217037218e+02
1.001023890784982912e-01,2.628276943678679913e+02,6.709085011682070672e+02,2.322927120101121545e+02,6.722256249544719822e+02,2.323366093496208578e+02,6.722237314465818372e+02
1.334698521046643882e-01,2.695119749758564467e+02,6.726403422235555354e+02,2.323368599261007148e+02,6.722237164943852576e+02,2.323907249206264112e+02,6.722243201654860059e+02
1.668373151308304991e-01,2.779172571519085295e+02,6.754874977843298893e+02,2.323912987318801129e+02,6.722243082102971812e+02,2.324580741338358791e+02,6.722290945081155087e+02
2.002047781569965823e-01,2.872210536152330747e+02,6.777794147005527066e+02,2.324592468470865185e+02,6.722291230462744807e+02,2.325410441405608992e+02,6.722374134746241907e+02
2.335722411831626655e-01,3.000011741122713147e+02,6.796423356151468624e+02,2.325432934508255300e+02,6.722375464652142227e+02,2.326467472224714470e+02,6.722489024900150980e+02
2.669397042093287764e-01,3.135434549743063712e+02,6.814202666556504937e+02,2.326509461634174443e+02,6.722492434381965722e+02,2.327797022192916643e+02,6.722638408934512881e+02
3.003071672354948873e-01,3.307728998948707044e+02,6.824426332909060875e+02,2.327872906559783530e+02,6.722645588620947592e+02,2.329513885168513809e+02,6.722816042247204678e+02
3.336746302616609983e-01,3.500079111809847063e+02,6.833310691762691249e+02,2.329648077426487021e+02,6.722829265839778827e+02,2.331744523485594698e+02,6.723027157337164681e+02
3.670420932878270537e-01,3.711949045498199666e+02,6.843306907911629651e+02,2.331975856557788234e+02,6.723049644744206716e+02,2.334668885641249005e+02,6.723284327787183656e+02
4.004095563139931646e-01,3.921001330282215918e+02,6.858921887168669400e+02,2.335057047869660494e+02,6.723320716484589639e+02,2.338495748745532978e+02,6.723614731772246387e+02
4.337770193401592755e-01,1.026760406141319436e+03,2.196483886540222557e+02,2.339126759010178773e+02,6.723672171087073366e+02,2.358599845075782184e+02,6.712552970799591776e+02
4.671444823663253310e-01,4.334939801883111841e+02,6.873871072481697411e+02,2.360668025777586649e+02,6.711822955744663659e+02,2.366259417351542425e+02,6.712281896851691272e+02
5.005119453924914419e-01,4.562887811340820008e+02,6.874402752720461649e+02,2.368940086057824885e+02,6.711527372294900715e+02,2.376214606177615281e+02,6.712067421731024979e+02
5.338794084186575528e-01,4.750994710379808339e+02,6.869966038105742427e+02,2.379730374127171046e+02,6.711301685594602304e+02,2.389045983505250206e+02,6.711925005022817459e+02
5.672468714448236637e-01,4.969546745256866416e+02,6.858614211763643880e+02,2.393674156725149089e+02,6.711162316367466474e+02,2.405766272585903494e+02,6.711854511086629600e+02
