# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,2.293684259796884533e+02,6.741493476858333906e+02,2.293684259796884533e+02,6.741493476858333906e+02,2.293684259796884533e+02,6.741493476858333906e+02
3.336746302616609705e-02,2.415589633626052546e+02,6.708716342160666954e+02,2.293684259796884533e+02,6.741493476858333906e+02,2.294291430021563656e+02,6.741330224824288280e+02
6.673492605233219410e-02,2.488422898248329886e+02,6.710199277759926417e+02,2.294292117122389527e+02,6.741330040081027164e+02,2.295257525147241324e+02,6.741175227497518563e+02
1.001023890784982912e-01,2.608306429358945024e+02,6.707042324859969540e+02,2.295260508975221683e+02,6.741174673595053264e+02,2.296818958072922499e+02,6.741004751150373977e+02
1.334698521046643882e-01,2.685330139959615963e+02,6.739420337264542695e+02,2.296828046763098996e+02,6.741003527162126829e+02,2.298770563123986506e+02,6.740995611188616294e+02
1.668373151308304991e-01,2.787250871286382221e+02,6.749432810345325606e+02,2.298791375093157114e+02,6.740994298398200044e+02,2.301255070986580620e+02,6.741036860631901391e+02
2.002047781569965823e-01,2.872543747994985210e+02,6.776829295735509504e+02,2.301298133762063856e+02,6.741035868069482149e+02,2.304222199314758655e+02,6.741219085806727662e+02
2.335722411831626655e-01,3.005020632498379314e+02,6.797039478212625454e+02,2.304304215639202482e+02,6.741220344109060534e+02,2.307974412245221743e+02,6.741512712307676338e+02
2.669397042093287764e-01,3.133878462787848775e+02,6.814115962816563297e+02,2.308126596494968510e+02,6.741519267929868420e+02,2.312600786227640413e+02,6.741912620219032988e+02
3.003071672354948873e-01,3.307504904873804321e+02,6.824670391072419307e+02,2.312872892702822298e+02,6.741929326498637920e+02,2.318525311380242044e+02,6.742399537725567598e+02
3.336746302616609983e-01,3.500079111809847063e+02,6.833310691762983424e+02,2.319002250905945459e+02,6.742432997963725256e+02,2.326159229837472253e+02,6.742983690100195417e+02
3.670420932878270537e-01,3.709315672325050173e+02,6.842441738496380594e+02,2.326974912137300464e+02,6.743043179696712741e+02,2.336074498224731428e+02,6.743697494297579169e+02
4.004095563139931646e-01,3.955731590749728639e+02,6.864959641576169815e+02,2.337432249571048146e+02,6.743796270209917338e+02,2.349233204617542299e+02,6.744679817191857865e+02
4.337770193401592755e-01,4.221377021686029138e+02,6.693602925752327337e+02,2.351441469380492606e+02,6.744842250569197404e+02,2.366838948668352884e+02,6.744420334187309436e+02
4.671444823663253310e-01,4.335823470077411343e+02,6.875213269627188311e+02,2.370342414424853246e+02,6.744565201833088395e+02,2.388936653151828580e+02,6.745801184929845249e+02
5.005119453924914419e-01,4.562887811340822282e+02,6.874402752718854117e+02,2.394226856535583750e+02,6.746057520754341112e+02,2.418139691246447569e+02,6.747472725058681817e+02
5.338794084186575528e-01,4.749010600870512917e+02,6.867652188032540153e+02,2.425947023262628193e+02,6.747873569146820500e+02,2.456125693001145578e+02,6.749429600335949999e+02
5.672468714448236637e-01,4.969546745256865279e+02,6.858614211763660933e+02,2.467337383585936550e+02,6.750005714392920027e+02,2.505899709961419148e+02,6.751679513710801075e+02
6.006143344709897747e-01,5.176306324168060655e+02,6.843745920510785936e+02,2.521663516657885395e+02,6.752459132541951021e+02,2.570353711846001943e+02,6.754133471368901382e+02
6.339817974971558856e-01,5.378418110256453701e+02,6.830427380307000931e+02,2.592040942381965465e+02,6.755131907804213824e+02,2.652857461837576238e+02,6.756775335198459516e+02
6.673492605233219965e-01,-2.786166533355851698e+02,4.747212070814330218e+02,2.682075557541914463e+02,6.758002313959208323e+02,2.540468259760239107e+02,6.705930264477076435e+02
7.007167235494879964e-01,5.763696649470981583e+02,6.816489166964452124e+02,2.557024978935944830e+02,6.701933998382377240e+02,2.655025710072803804e+02,6.705434977412973012e+02
7.340841865756541074e-01,5.951987582848880720e+02,6.822229012367885161e+02,2.682333914367388843e+02,6.701541337269824226e+02,2.799408627204346658e+02,6.705862735294718959e+02
7.674516496018202183e-01,6.110190628858056243e+02,6.853154437393934586e+02,2.839817813629163084e+02,6.702169500957460286e+02,2.975818972537499576e+02,6.708448334440126928e+02
8.008191126279863292e-01,6.252694669404245360e+02,6.905733025476198463e+02,3.031640542033858310e+02,6.705164068363393426e+02,3.185680349098765873e+02,6.714755836224211407e+02
8.341865756541524402e-01,6.376099930094255797e+02,6.991544662078448482e+02,3.259105030202279636e+02,6.712219693340481399e+02,3.428702496594713693e+02,6.727417923854027322e+02
8.675540386803185511e-01,6.477666961825972294e+02,7.102849653473915623e+02,3.521646250470320183e+02,6.726184664047536899e+02,3.702606782675260888e+02,6.749243195636209975e+02
9.009215017064846620e-01,6.547097384875398802e+02,7.241562677061081104e+02,3.816556788080887941e+02,6.750073910733650564e+02,4.002496247206847215e+02,6.783542431760106410e+02
9.342889647326506619e-01,6.604147786834067801e+02,7.387719299387216552e+02,4.138325701420281462e+02,6.787424464390904859e+02,4.322999427617314723e+02,6.832382567674743541e+02
9.676564277588167728e-01,6.623842235208693410e+02,7.557139133504689426e+02,4.480998555361770741e+02,6.840393591475858557e+02,4.655559988557134830e+02,6.898781485203076045e+02
1.001023890784982884e+00,6.474414040665946004e+02,8.086932443792475169e+02,4.835233962414419011e+02,6.912159323575475582e+02,4.978947566975110135e+02,7.015156475558608236e+02
1.034391353811149106e+00,6.654451464727659413e+02,7.816103706471532178e+02,5.178048917624945489e+02,7.037736614574170062e+02,5.315979812638286148e+02,7.110454498897126996e+02
1.067758816837315106e+00,6.732770920064104985e+02,8.018629390602752665e+02,5.534294698884733634e+02,7.139949643388300728e+02,5.652508274805455812e+02,7.226619594090468581e+02
1.101126279863481106e+00,6.689964720418788602e+02,8.306274784390195691e+02,5.888700977019502716e+02,7.264270939891404169e+02,5.971446808913368614e+02,7.371877799255679520e+02
1.134493742889647327e+00,6.509737580912851627e+02,9.500538635175724949e+02,6.222942546684963645e+02,7.419471335784567145e+02,6.253717567724885384e+02,7.642783744580901839e+02
