# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,2.320148726575227158e+02,6.724340431950688526e+02,2.320148726575227158e+02,6.724340431950688526e+02,2.320148726575227158e+02,6.724340431950688526e+02
3.336746302616609705e-02,2.418199633892860163e+02,6.704410190738972233e+02,2.320148726575227158e+02,6.724340431950688526e+02,2.320637105171110761e+02,6.724241162056254097e+02
6.673492605233219410e-02,2.510262204735817591e+02,6.708236250492617501e+02,2.320637716778849153e+02,6.724241037738283921e+02,2.321581356522127351e+02,6.724161392152998360e+02
1.001023890784982912e-01,2.607968136635800533e+02,6.708341170190802814e+02,2.321585122714008946e+02,6.724160996153448195e+02,2.323016404193802202e+02,6.724081932023199215e+02
1.334698521046643882e-01,2.714895645688319519e+02,6.730757237470409109e+02,2.323031102138772894e+02,6.724080912549785580e+02,2.325017880912770067e+02,6.724114761952235995e+02
1.668373151308304991e-01,2.774938753473481370e+02,6.751919075875973704e+02,2.325064393604583870e+02,6.724114095456127416e+02,2.327420359024752941e+02,6.724259708494391816e+02
2.002047781569965823e-01,2.887154114242459286e+02,6.779546723170240057e+02,2.327539440172397747e+02,6.724262989684655167e+02,2.330654256339199435e+02,6.724570699033249639e+02
2.335722411831626655e-01,3.000011741122711442e+02,6.796423356151433381e+02,2.330936322122486786e+02,6.724588833517824469e+02,2.335053296005042966e+02,6.725030847743948925e+02
2.669397042093287764e-01,2.759260804500469817e+02,6.795388280673482768e+02,2.335666036012608231e+02,6.725082871050304902e+02,2.338684837114498976e+02,6.725583911345955812e+02
3.003071672354948873e-01,2.989108612955226363e+02,1.229767686024249997e+03,2.339672707895027202e+02,6.725691559632816734e+02,2.345289059496782613e+02,6.773878345001785419e+02
3.336746302616609983e-01,3.500079111809848200e+02,6.833310691762694660e+02,2.347074727935176952e+02,6.779770257860750462e+02,2.359656080650500201e+02,6.780354480343225987e+02
3.670420932878270537e-01,3.709315672325050173e+02,6.842441738496449943e+02,2.363390170434270772e+02,6.787064865447794091e+02,2.382418829901317565e+02,6.787847782227446487e+02
4.004095563139931646e-01,3.921799599890579771e+02,6.859152138313764908e+02,2.389417290838156589e+02,6.795422645072393379e+02,2.417855190678914141e+02,6.796605334884847025e+02
4.337770193401592755e-01,1.026760406141318981e+03,2.196483886540377171e+02,2.429995519489868343e+02,6.805123890487093377e+02,2.621153781354462353e+02,6.692719754965175980e+02
4.671444823663253310e-01,4.335823470077410775e+02,6.875213269627785166e+02,2.664400027249837422e+02,6.684404987025351375e+02,2.717556099889230836e+02,6.690473239193129302e+02
5.005119453924914419e-01,4.562887811340823987e+02,6.874402752719224736e+02,2.772957901965495466e+02,6.682239210163086227e+02,2.846118317203513470e+02,6.690093576132043154e+02
5.338794084186575528e-01,4.750994710379809476e+02,6.869966038103925712e+02,2.917197910426313001e+02,6.682267400152843493e+02,3.011712841233865561e+02,6.691941494784848601e+02
5.672468714448236637e-01,4.969546745256866416e+02,6.858614211763645017e+02,3.102130005246690416e+02,6.684847136766634321e+02,3.220852500139191079e+02,6.695894515871581234e+02
6.006143344709897747e-01,5.176306324168059518e+02,6.843745920514586487e+02,3.334575981119351695e+02,6.689783018656344211e+02,3.475615259724889938e+02,6.701573461644950385e+02
